Recording_ID,bout_duration_ms,num_syllables,num_syllable_per_bout_duration_1_ms,largest_syllable_duration_ms,smallest_syllable_duration_ms,avg_syllable_duration_ms,num_unique_syllables,num_syllables_per_num_unique,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz
104408311,6.945754245,2.63905733,-4.306696923,5.239476867,2.516159193,3.524090376,1.098612289,1.540445041,8.597073943,8.374497124,8.673446921,7.610939638,8.260601706,7.567454525,6.756524309,7.02436804
104692741,7.085835048,2.564949357,-4.520885657,4.979466731,3.026984817,4.089857506,0.693147181,1.871802177,8.771940019,8.532779592,8.890690751,8.023471913,8.355911886,7.838329479,6.468842237,7.254965874
115241591,7.195199228,3.091042453,-4.104156745,4.532770156,3.072105252,3.628660594,0.693147181,2.397895273,8.679112659,8.001464552,8.810648043,7.474364103,8.514382227,8.15524119,7.838329479,7.984967972
115241591,7.059453976,2.197224577,-4.862229427,4.909381561,4.194931799,4.438180233,0,2.197224577,8.490144492,7.552528875,8.556582581,7.424353682,8.179632644,8.179632644,7.610939638,8.007698715
154234301,6.841818956,2.197224577,-4.644594408,4.798018156,3.571096419,4.074153853,1.098612289,1.098612289,8.720523823,8.353664694,8.848388371,7.803843304,8.42423113,7.712035754,7.424353682,7.56250402
154234301,6.880726607,2.397895273,-4.482831322,4.62403867,2.659260037,3.834334427,0.693147181,1.704748092,8.467862211,8.307947827,8.488179854,8.037458155,7.498461654,7.371709948,5.840233577,6.615170191
154234301,6.785677319,2.079441542,-4.706235827,4.955156142,3.38519704,4.27202574,0.693147181,1.386294361,8.727997772,8.390654834,8.823387069,7.712035754,8.43362087,7.768125221,7.344310974,7.501433424
165892761,7.290531057,2.63905733,-4.651473739,4.529351349,3.680911284,4.256239714,0.693147181,1.945910149,8.479928459,8.103669383,8.539915529,7.821235046,7.887926421,7.786143726,6.851834489,7.348271375
225556,7.338919075,2.772588722,-4.566330315,4.58269733,3.129263666,3.974326889,0.693147181,2.079441542,8.692564481,8.074941248,8.970278189,7.821235046,8.597073943,8.365962222,7.631993047,7.933254377
225569,6.977044403,2.708050201,-4.268994208,4.33323647,2.516159193,3.510992494,0.693147181,2.014903021,8.419186983,8.164253951,8.514382227,7.712035754,7.935179306,7.474364103,6.468842237,6.968943897
225572,6.740556884,2.564949357,-4.175607504,4.512079763,2.877949238,3.439917046,0.693147181,1.871802177,8.461971458,7.844827228,8.479290907,7.371709948,8.091525376,7.965484655,7.54498167,7.706101019
225576,7.184424552,2.772588722,-4.411835827,4.627149092,2.764620552,3.94442873,0.693147181,2.079441542,8.800986132,8.329687166,8.92557801,7.965484655,8.452139918,8.009287278,7.474364103,7.839388241
236017491,6.965425026,1.945910149,-5.019514952,4.883282808,3.79423997,4.263605641,1.386294361,0.559615788,8.284132203,7.894815082,8.53147666,7.498461654,8.104597458,7.768125221,5.552551505,7.185519915
242433591,6.784600699,1.791759469,-4.9928413,5.30779611,3.329934362,4.62403867,1.098612289,0.693147181,8.340644414,8.048965762,8.452139918,7.768125221,7.768125221,7.521992151,5.706702185,7.005985169
284225301,6.820224287,2.397895273,-4.422329014,4.443584528,3.057290167,3.850423883,0.693147181,1.704748092,8.849510076,8.423373129,9.033791594,8.023471913,8.589105773,8.167511283,7.521992151,7.808616582
333371791,7.009107774,2.995732274,-4.013375508,4.774175967,2.253794929,3.228983302,1.386294361,1.609437912,8.427527577,8.224398657,8.589105773,7.903926762,7.903926762,7.498461654,5.706702185,6.783652977
339273711,6.906484631,2.63905733,-4.267427328,4.556380022,3.363457054,3.802370096,0.693147181,1.945910149,8.514997801,8.154358967,8.604979122,7.749776082,8.064857129,7.980299741,7.018888574,7.348271375
456940621,6.87155223,2.197224577,-4.674327678,4.823859387,3.757872326,4.226846619,0.693147181,1.504077397,8.54643021,8.104597458,8.658631836,7.521992151,8.282580613,7.652612334,7.19477924,7.539918368
461508881,7.326465614,2.833213344,-4.493252227,4.525920814,3.306944843,4.081501786,0.693147181,2.140066163,8.748820775,8.29969672,9.07891203,7.980299741,8.680772961,8.117500862,7.474364103,7.750864814
466803501,6.879094486,2.48490665,-4.394187803,4.63024987,3.341233917,3.88194555,0.693147181,1.791759469,8.480777896,8.127070313,8.505724164,7.980299741,7.631993047,7.521992151,6.896286252,7.299332979
567583611,7.054805983,2.772588722,-4.282217282,4.451019506,2.349105109,3.294513239,0.693147181,2.079441542,8.688498517,8.477056269,8.791229957,8.037458155,8.167511283,7.474364103,6.705231015,7.068136508
592239321,7.044060598,2.079441542,-4.964619117,5.487230905,3.952463975,4.586747558,1.098612289,0.980829253,8.534649587,7.875755885,8.597073943,7.44967149,8.226700154,7.903926762,7.610939638,7.8233879
596898561,7.231218089,2.564949357,-4.666268764,5.664942641,3.15666264,4.216774677,1.609437912,0.955511445,8.382743699,7.981430323,8.56481308,7.749776082,7.99489854,7.712035754,6.158687308,7.305090261
597334041,7.083707387,2.397895273,-4.685812073,5.219067995,3.143056988,4.147728023,0.693147181,1.704748092,8.496990484,8.23812885,8.572976391,7.99489854,7.768125221,7.768125221,6.245698686,7.056628902
597334041,6.937468176,2.63905733,-4.298410823,4.223235575,3.467718064,3.762622928,0.693147181,1.945910149,8.450828442,8.270866305,8.514382227,7.631993047,7.99489854,7.672815041,6.158687308,6.701464532
601329651,7.02730043,2.302585093,-4.724715386,4.462069342,4.017383521,4.274017111,0.693147181,1.609437912,8.547450098,7.894357311,8.751224623,7.589433432,8.385764849,8.078280149,7.19477924,7.82981879
62893271,7.28510393,1.945910149,-5.339193738,6.081711425,4.303636001,4.897602861,0.693147181,1.252762968,8.252633536,7.672815041,8.282580613,7.54498167,7.652612334,7.589433432,6.851834489,7.456788957
67598691,6.857645494,2.197224577,-4.66042088,4.728861659,3.495244137,4.215551086,0.693147181,1.504077397,8.548031794,8.060126955,8.633025007,7.956407128,7.939877826,7.939877826,6.553583465,7.619570527
67677611,7.207036487,3.36729583,-3.83974067,4.099621619,2.490183707,3.41622709,0.693147181,2.674148649,8.501818496,8.20384889,8.75800431,8.009287278,8.130239888,7.855136598,5.840233577,7.179083851
67686671,7.282446124,2.63905733,-4.643388801,4.916324615,3.124565145,4.039389601,0.693147181,1.945910149,8.713067715,8.179082186,8.882485867,7.972667649,8.378132757,8.108213141,6.678746608,7.848962736
88388061,6.937159963,2.564949357,-4.37221057,5.279086005,2.803841266,3.853959204,1.098612289,1.466337069,8.611017788,8.355911886,8.709551926,7.652612334,8.293391529,7.589433432,6.533380758,7.154267371
